"","mean.growth_Before_PrEP","mean.growth_Early_HAART","mean.growth_Early_TaSP","mean.growth_Harm_reduction","mean.growth_PrEP_COVID19","mean.growth_PrEP_post-COVID19","mean.growth_PrEP_pre-COVID19","mean.growth_STOP_HIVAIDS","stdev.growth_Before_PrEP","stdev.growth_Early_HAART","stdev.growth_Early_TaSP","stdev.growth_Harm_reduction","stdev.growth_PrEP_COVID19","stdev.growth_PrEP_post-COVID19","stdev.growth_PrEP_pre-COVID19","stdev.growth_STOP_HIVAIDS","mean.growth.smooth_Before_PrEP","mean.growth.smooth_Early_HAART","mean.growth.smooth_Early_TaSP","mean.growth.smooth_Harm_reduction","mean.growth.smooth_PrEP_COVID19","mean.growth.smooth_PrEP_post-COVID19","mean.growth.smooth_PrEP_pre-COVID19","mean.growth.smooth_STOP_HIVAIDS","stdev.growth.smooth_Before_PrEP","stdev.growth.smooth_Early_HAART","stdev.growth.smooth_Early_TaSP","stdev.growth.smooth_Harm_reduction","stdev.growth.smooth_PrEP_COVID19","stdev.growth.smooth_PrEP_post-COVID19","stdev.growth.smooth_PrEP_pre-COVID19","stdev.growth.smooth_STOP_HIVAIDS","clusterID","FC.before.during.mean","FC.before.during.mean.smooth"
"1",0.0344359064983374,1.20276879138807,0.0820707046695243,0.122159333983088,0.0232468924168337,0.0206555214559562,0.0264196581655233,0.0551119839978249,0.0128002872845197,2.63474630728835,0.0246211361940317,0.0387710002493786,0.00737043223951831,0.00815953669414195,0.0079517260442096,0.0197905081124622,0.0370365302284493,1.43605963445764,0.0863339038626347,0.126878514341075,0.0240087273620887,0.0197732449603177,0.0271105230268065,0.0565604564760688,0.00246745550659721,2.63486697281983,0.00731368344009324,0.0189063198034803,0.000795421184765696,0.00134738431632764,0.00159250699748882,0.00807305005481317,9999,0.767212507293771,0.731994138208492
"2",0.00760816384474397,1.21648558788907,0.0831222207407753,0.107296830154055,0.00965672774385313,0.0226246147100169,0.0114015665054041,0.0389311777400401,0.0151501886295592,2.46278233924052,0.0735985784306603,0.0875834475218771,0.0187366254761274,0.0238486281499615,0.0250178738247277,0.0449551398738598,0.00924887937417126,1.46293036364282,0.0883164998366784,0.114366318243067,0.00962752457559286,0.0236173420428137,0.00650356941476363,0.0410155074745061,0.00502766119187218,2.44511874585475,0.0298175875437318,0.0330472044764025,0.00676416103108915,0.00439758456705402,0.00832574131540594,0.0169189668976316,57,1.49859634178104,0.703173773995337
"3",0,0.985874636861526,0.0514409880393937,0.0746177408096459,0.0117064937587791,0.00417972831765935,0.00627487398400012,0.0219274045692811,0,2.07615790789748,0.0392899528729787,0.0593764910139496,0.0237567577347033,0.0138625905552995,0.0150084096052061,0.0278611942777844,0.000619303730394252,1.16657496120851,0.0515093219532625,0.0837351073382124,0.0104834395000631,0.00498123583037664,0.005349682337159,0.0252390338481659,0.00174834556640646,2.06911266372394,0.00856164081295766,0.0397672964593837,0.00229212076664737,0.00521367914506302,0.00362701520740131,0.0148772603379131,49,Inf,8.63822075438391
"4",0.112275737649933,0.597959183673469,0.18912528142486,0.279959749492773,0.0545727064118069,0.0276145628505999,0.0736387009902814,0.173672687878165,0.0838587793216565,2.01628405934034,0.192748482006801,0.507209226777656,0.0286829354649095,0.02536734040521,0.0563267700472468,0.136838139012611,0.108182065608325,0.682709750566893,0.207921954172596,0.27516170379883,0.0580481115372699,0.0334048188138012,0.0911805205622877,0.168472421243121,0.015607623235539,1.98401234307378,0.0697649292854485,0.134870349079054,0.00557379165771875,0.00748277510437599,0.0306316992630238,0.0532435237295677,31,0.655873677890061,0.842843220357879
"5",0.122262435564235,0.857142857142857,0.397586543358602,0.138888888888889,0.0345226505873775,0.0373634062715647,0.0450144672872253,0.300151243110583,0.109498750700722,3.20713490294909,0.782577522539769,0.844294113955984,0.0620096904779631,0.042930978235202,0.0635286996859482,0.347648274527056,0.147415575800395,0.928571428571429,0.388931518848798,0.138888888888889,0.02514404483437,0.040924320078733,0.06239902996315,0.290456853312124,0.0488051008949535,3.19769834807393,0.25920694245513,0.203644416847853,0.00999350180087941,0.00497524873095134,0.0206789724202783,0.111101170094773,95,0.36817904926796,0.423286546379876
"6",0.0253124618813413,0.502721088435374,0.202398438113495,0.284268288068854,NA,NA,0.00340425531914894,0.0710936650809844,0.0402978996371165,1.94487556072163,0.179489115939594,0.401114094145493,NA,NA,0.0170212765957447,0.0863970909542102,0.0294338768069009,0.600963718820862,0.211298236213649,0.284768135443701,NA,NA,0.00313880445795324,0.0742987187594192,0.0169429354706782,1.92635905419121,0.0353853655722305,0.0863301859441185,NA,NA,0.00361409220550989,0.0219061056783092,13,0.134489301558547,0.106639179016246
"7",0.0217391304347826,0.945782348608952,0.0577693481507629,0.0752398815719308,0.157416437576286,0.0406779661016949,0.0865551621630649,0.0543856587085102,0.0736512655530365,2.30527812418332,0.138165353771613,0.178865045120291,0.178677973641025,0.090958697389822,0.156587238145688,0.10690416662782,0.0135291396854763,1.12233660641769,0.0629776814840961,0.0978841751336874,0.153300678152793,0.105981420529699,0.0681043453815027,0.0531972015186653,0.0153957697994695,2.2705172663967,0.0390458448814279,0.0869169352851131,0.0323493685674162,0.00757989144915183,0.0262222098178646,0.0328700209577135,137,3.98153745950099,5.03390067401059
"8",NA,0.940503163838538,0.0173195627877408,0.0593285658292813,NA,NA,NA,0.00854700854700855,NA,2.16589942994102,0.0580568022114248,0.121563995755081,NA,NA,NA,0.0444115591684328,NA,1.11854940090336,0.0180442552660629,0.0712114139882863,NA,NA,NA,0.00396111361023621,NA,2.15143511146112,0.0122277710786574,0.0582243546664187,NA,NA,NA,0.00755776771645034,156,NA,NA
"9",0.0479311053561886,0.752857142857143,0.0936847471115206,0.139853270367976,0.0104895104895105,0,0.0262922853634029,0.118691913107044,0.116519048073692,2.29842209200787,0.235196227555478,0.399772278077901,0.0492001653128332,0,0.0742451713578916,0.197412713095294,0.0760804491722431,0.917142857142857,0.0901851733689801,0.138452710143887,0.0190493468795356,0.0016025641025641,0.0183097019091214,0.118994788839856,0.0301390250821443,2.21837984575822,0.0593391663476081,0.106187136167363,0.000185691696559928,0.00555144489605409,0.01138163765607,0.0654512288373667,142,0.548543272015491,0.240662379209525
"10",0,1.0242209532016,0.0264849290780142,0.0411571269186701,NA,NA,0.0249480249480249,0.0143385753931545,0,2.46269809999914,0.0784940437877395,0.0977198287156912,NA,NA,0.0899513831716588,0.0595379833963786,-3.14563190310461e-16,1.21953367861189,0.0274955191951893,0.0430349954798907,NA,NA,0.008316008316008,0.0166841723198681,0,2.44641995696444,0.0156441726077357,0.0307679216141249,NA,NA,0.0129833638220341,0.0180038566232479,201,Inf,-26436686084600.2
