"","year","n"
"1",1987,8
"2",1988,33
"3",1989,167
"4",1990,210
"5",1991,185
"6",1992,179
"7",1993,412
"8",1994,192
"9",1995,228
"10",1996,423
"11",1997,292
"12",1998,161
"13",1999,123
"14",2000,93
"15",2001,82
"16",2002,80
"17",2003,90
"18",2004,78
"19",2005,94
"20",2006,95
"21",2007,123
"22",2008,133
"23",2009,126
"24",2010,119
"25",2011,125
"26",2012,125
"27",2013,95
"28",2014,143
"29",2015,148
"30",2016,141
"31",2017,125
"32",2018,101
"33",2019,92
"34",2020,68
"35",2021,70
"36",2022,74
