"","clusterID","size","firstDate","lastDate","medianDate","meanDate","meanCDbase","medianCDbase","meanVLbase","medianVLbase","meanAgeFARV","medianAgeFARV","meanAge2023","medianAge2023","n_RSK","n_MSM","n_HET","n_IDU","n_BLOOD","n_HCV","n_HCVrep","perc_RSK","perc_MSM","perc_HET","perc_IDU","perc_BLOOD","perc_HCV","n_seroconv_2018","n_seroconv_2022","n_PREP","perc_PREP","n_HAknown","n_HA_Van","n_HA_VanIsl","n_HA_Fras","n_HA_North","n_HA_Int","perc_HAknown","perc_HA_Van","perc_HA_VanIsl","perc_HA_Fras","perc_HA_North","perc_HA_Int","n_subB","n_subC","n_subAE","n_subF","n_subBlike","n_subBrecomb","n_subBDrecomb","active","active22","medium","big","large"
"147","116",7,2005-04-18,2021-01-14,2009-05-25,2010-02-15,298.571428571429,230,35007.1666666667,22294,35,35,46.4011741682975,43.7616438356164,5,4,0,0,0,1,7,71.4285714285714,80,0,0,0,14.2857142857143,1,0,0,0,7,5,1,1,0,0,100,71.4285714285714,14.2857142857143,14.2857142857143,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"148","121",7,1996-11-22,2008-06-05,2000-05-01,2001-12-23,335,280,119212.5,80250,40,37.5,59.6538812785388,58.413698630137,3,3,1,0,0,1,6,42.8571428571429,100,33.3333333333333,0,0,16.6666666666667,0,0,0,NA,6,5,0,1,0,0,85.7142857142857,83.3333333333333,0,16.6666666666667,0,0,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"149","126",7,2006-03-24,2013-03-01,2010-03-22,2010-01-12,316,240,51504.6,37953,39,41,50.6997260273973,51.5643835616438,2,1,0,1,0,2,5,28.5714285714286,50,0,50,0,40,0,0,0,NA,5,3,1,0,0,1,71.4285714285714,60,20,0,0,20,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"150","149",7,1997-02-14,2010-06-03,1997-05-12,2001-02-05,336.571428571429,380,247575.666666667,100010,38.2857142857143,35,58.8356164383562,59.9808219178082,6,0,1,6,0,6,7,85.7142857142857,0,16.6666666666667,100,0,85.7142857142857,0,0,0,NA,7,6,0,1,0,0,100,85.7142857142857,0,14.2857142857143,0,0,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"151","150",7,2004-04-01,2018-09-05,2008-02-12,2009-05-20,215.714285714286,180,186789.142857143,124449,48.2857142857143,53,60.5033268101761,61.6383561643836,6,0,2,5,0,7,7,85.7142857142857,0,33.3333333333333,83.3333333333333,0,100,1,0,0,0,7,0,0,2,0,5,100,0,0,28.5714285714286,0,71.4285714285714,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"152","185",7,2006-10-19,2020-01-28,2013-02-18,2013-12-13,405.714285714286,380,501571,184000,40.1428571428571,34,48.8947162426614,43.8301369863014,7,0,2,7,0,7,7,100,0,28.5714285714286,100,0,100,2,0,0,0,7,6,0,0,1,0,100,85.7142857142857,0,0,14.2857142857143,0,4,0,3,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"153","186",7,2005-01-24,2015-12-19,2013-10-30,2012-04-24,447,390,53009.1428571429,13261,48.4285714285714,45,58.7091976516634,54.1452054794521,4,0,4,1,0,0,7,57.1428571428571,0,100,25,0,0,0,0,0,NA,7,3,0,4,0,0,100,42.8571428571429,0,57.1428571428571,0,0,0,7,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"154","212",7,1996-06-19,2001-09-24,1997-04-03,1998-02-17,120,100,107253.6,67000,42.5714285714286,41,64.3295499021526,65.9506849315069,7,0,3,7,1,6,6,100,0,42.8571428571429,100,14.2857142857143,100,0,0,0,NA,7,3,2,2,0,0,100,42.8571428571429,28.5714285714286,28.5714285714286,0,0,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"155","216",7,2000-07-05,2010-10-26,2004-03-30,2004-09-08,236,180,170599.166666667,68382.5,39.5,38,56.0945205479452,56.8657534246575,5,1,4,5,0,5,6,71.4285714285714,20,80,100,0,83.3333333333333,0,0,0,NA,6,4,0,2,0,0,85.7142857142857,66.6666666666667,0,33.3333333333333,0,0,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"156","220",7,2011-07-25,2018-02-01,2014-10-30,2014-07-16,442.857142857143,340,2090777.42857143,488470,41.4285714285714,44,49.6520547945205,51.9534246575342,5,3,2,0,0,0,7,71.4285714285714,60,40,0,0,0,1,0,0,0,7,6,0,1,0,0,100,85.7142857142857,0,14.2857142857143,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
