"","clusterID","size","firstDate","lastDate","medianDate","meanDate","meanCDbase","medianCDbase","meanVLbase","medianVLbase","meanAgeFARV","medianAgeFARV","meanAge2023","medianAge2023","n_RSK","n_MSM","n_HET","n_IDU","n_BLOOD","n_HCV","n_HCVrep","perc_RSK","perc_MSM","perc_HET","perc_IDU","perc_BLOOD","perc_HCV","n_seroconv_2018","n_seroconv_2022","n_PREP","perc_PREP","n_HAknown","n_HA_Van","n_HA_VanIsl","n_HA_Fras","n_HA_North","n_HA_Int","perc_HAknown","perc_HA_Van","perc_HA_VanIsl","perc_HA_Fras","perc_HA_North","perc_HA_Int","n_subB","n_subC","n_subAE","n_subF","n_subBlike","n_subBrecomb","n_subBDrecomb","active","active22","medium","big","large"
"38","52",14,2001-12-10,2021-03-08,2008-10-30,2011-05-17,415.692307692308,440,45717.1538461538,2662,34.5714285714286,36,44.7041095890411,43.8616438356164,10,7,6,3,1,1,14,71.4285714285714,70,60,30,10,7.14285714285714,4,0,0,0,14,8,0,5,1,0,100,57.1428571428571,0,35.7142857142857,7.14285714285714,0,14,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"39","114",14,2018-11-02,2022-11-24,2021-10-09,2021-06-25,619.384615384615,400,249285.142857143,136000,26.2857142857143,23,27.8765166340509,24.7506849315068,14,13,1,1,0,0,12,100,92.8571428571429,7.14285714285714,7.14285714285714,0,0,14,6,2,14.2857142857143,13,4,2,4,0,3,92.8571428571429,30.7692307692308,15.3846153846154,30.7692307692308,0,23.0769230769231,14,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE
"40","117",14,1996-06-27,2021-12-26,2009-11-30,2009-05-08,451.428571428571,467.5,442221.833333333,37289,44.2857142857143,43,57.2931506849315,58.6013698630137,10,9,4,3,0,3,14,71.4285714285714,90,40,30,0,21.4285714285714,2,0,0,0,13,4,0,8,0,1,92.8571428571429,30.7692307692308,0,61.5384615384615,0,7.69230769230769,14,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"41","193",13,1996-06-18,2020-07-16,2004-07-05,2005-11-11,434.545454545455,300,290408.6,78413,40,41,55.8742216687422,64.5178082191781,11,0,4,11,0,11,11,84.6153846153846,0,36.3636363636364,100,0,100,3,0,0,0,10,8,0,2,0,0,76.9230769230769,80,0,20,0,0,13,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"42","196",13,2004-01-19,2019-11-19,2015-02-02,2012-07-20,358.384615384615,260,1766408,209844,37.7692307692308,34,47.0063224446786,47.0602739726027,12,0,10,7,0,5,13,92.3076923076923,0,83.3333333333333,58.3333333333333,0,38.4615384615385,3,0,0,0,13,7,1,5,0,0,100,53.8461538461538,7.69230769230769,38.4615384615385,0,0,13,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"43","202",13,2003-06-03,2022-04-13,2019-06-12,2016-04-24,440.181818181818,460,362655.454545455,57700,39.1538461538462,38,45.4122233930453,41.8602739726027,11,0,5,11,0,13,13,84.6153846153846,0,45.4545454545455,100,0,100,9,1,0,0,12,7,0,5,0,0,92.3076923076923,58.3333333333333,0,41.6666666666667,0,0,13,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE
"44","227",13,1997-07-30,2018-11-16,2010-08-23,2009-11-26,285.25,230,72307.1666666667,66535.5,29.25,28,39.4792237442922,38.7671232876712,9,9,1,1,0,1,12,69.2307692307692,100,11.1111111111111,11.1111111111111,0,8.33333333333333,2,0,0,0,12,5,0,7,0,0,92.3076923076923,41.6666666666667,0,58.3333333333333,0,0,13,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"45","245",13,2004-12-13,2018-10-06,2016-04-09,2015-07-25,537.692307692308,494,1594420.33333333,160895.5,32.0769230769231,27,39.5970495258167,33.6109589041096,11,9,2,1,0,0,12,84.6153846153846,81.8181818181818,18.1818181818182,9.09090909090909,0,0,1,0,0,0,13,3,0,9,0,1,100,23.0769230769231,0,69.2307692307692,0,7.69230769230769,13,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"46","179",12,1997-02-11,2022-09-12,2009-12-07,2010-12-12,374.416666666667,370,127366.5,15945,35.75,36.5,46.7422374429224,44.541095890411,9,9,1,0,0,0,12,75,100,11.1111111111111,0,0,0,3,2,0,0,12,1,8,2,0,1,100,8.33333333333333,66.6666666666667,16.6666666666667,0,8.33333333333333,12,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE
"47","197",12,2004-11-01,2022-06-10,2017-11-22,2016-08-02,481.4,477,1028449.90909091,41078,34,33,39.7636363636364,41.6767123287671,11,9,2,0,0,1,10,91.6666666666667,81.8181818181818,18.1818181818182,0,0,10,5,2,1,20,11,5,0,2,0,4,91.6666666666667,45.4545454545455,0,18.1818181818182,0,36.3636363636364,12,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE
"48","207",11,1996-10-07,2021-06-12,2019-11-20,2015-12-14,587.818181818182,560,745240.454545455,240000,35,36,41.1354919053549,42.1397260273973,10,1,3,8,0,9,11,90.9090909090909,10,30,80,0,81.8181818181818,6,0,0,0,9,2,0,5,1,1,81.8181818181818,22.2222222222222,0,55.5555555555556,11.1111111111111,11.1111111111111,11,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"49","33",10,1998-04-16,2018-09-10,2010-05-22,2009-11-06,515,500,111964.75,49606,39,37.5,51.8630136986301,55.1041095890411,2,2,0,0,0,0,8,20,100,0,0,0,0,1,0,0,0,8,7,0,1,0,0,80,87.5,0,12.5,0,0,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"50","173",10,2008-01-25,2021-05-07,2011-05-21,2012-08-08,407.5,345,438801.75,107236,38.1111111111111,41,48.9424657534247,50.5780821917808,8,8,0,1,0,2,9,80,100,0,12.5,0,22.2222222222222,1,0,0,0,9,7,0,1,1,0,90,77.7777777777778,0,11.1111111111111,11.1111111111111,0,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"51","182",10,2005-02-15,2021-07-08,2008-02-28,2011-07-05,157.5,150,185778.444444444,120023,50,48,62.1257229832572,61.3780821917808,7,2,6,2,0,4,8,70,28.5714285714286,85.7142857142857,28.5714285714286,0,50,3,0,0,0,8,1,0,3,4,0,80,12.5,0,37.5,50,0,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"52","203",10,1996-11-06,2018-01-16,2003-01-21,2004-04-27,281.111111111111,240,167936.25,83005,41.2222222222222,40,56.9363774733638,55.2520547945205,9,1,4,9,0,8,9,90,11.1111111111111,44.4444444444444,100,0,88.8888888888889,1,0,0,0,9,6,1,1,0,1,90,66.6666666666667,11.1111111111111,11.1111111111111,0,11.1111111111111,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"53","205",10,2002-04-05,2022-10-20,2020-08-22,2019-01-20,505.555555555556,660,349122.222222222,171000,32.4444444444444,31,34.6901065449011,32.9150684931507,6,0,2,6,0,9,9,60,0,33.3333333333333,100,0,100,9,2,0,0,8,7,0,1,0,0,80,87.5,0,12.5,0,0,10,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE
"54","208",10,2007-11-20,2021-11-21,2010-11-16,2012-01-22,350.2,360,36024.8,23149.5,38.2,40.5,47.8879452054795,50.6821917808219,8,0,4,5,0,6,10,80,0,50,62.5,0,60,1,0,0,0,10,5,0,5,0,0,100,50,0,50,0,0,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
"55","24",9,2008-04-23,2019-08-26,2011-02-28,2012-01-02,387.5,335,1606651.55555556,65792,39.7777777777778,39,50.4404870624049,49.5178082191781,4,4,0,0,0,0,9,44.4444444444444,100,0,0,0,0,1,0,0,0,9,8,0,1,0,0,100,88.8888888888889,0,11.1111111111111,0,0,9,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"56","55",9,2001-09-20,2018-12-14,2012-08-30,2011-06-29,274.444444444444,230,1356131.44444444,100010,41.2222222222222,41,51.806697108067,55.5123287671233,7,6,0,3,0,2,8,77.7777777777778,85.7142857142857,0,42.8571428571429,0,25,2,0,0,0,9,9,0,0,0,0,100,100,0,0,0,0,9,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"57","195",9,2000-11-09,2022-01-06,2005-05-17,2009-06-02,206.111111111111,150,177625.444444444,100010,45.6666666666667,42,56.5993911719939,54.158904109589,8,5,1,2,0,2,9,88.8888888888889,62.5,12.5,25,0,22.2222222222222,3,1,0,0,9,5,0,3,0,1,100,55.5555555555556,0,33.3333333333333,0,11.1111111111111,9,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"58","241",9,2002-03-19,2022-09-28,2014-11-17,2012-06-15,357.777777777778,281,34624.1111111111,16183,36.7777777777778,40,46.620395738204,43.6931506849315,8,0,2,7,0,7,9,88.8888888888889,0,25,87.5,0,77.7777777777778,2,1,0,0,8,0,0,8,0,0,88.8888888888889,0,0,100,0,0,9,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"59","50",8,1997-10-09,2021-03-12,2006-10-16,2006-12-06,215,205,192198.125,100010,48.25,48,63.5431506849315,61.7821917808219,4,4,0,0,0,2,7,50,100,0,0,0,28.5714285714286,1,0,0,0,8,8,0,0,0,0,100,100,0,0,0,0,8,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"60","70",8,2009-09-17,2021-07-12,2014-02-12,2014-03-10,444.75,439,141192.875,94810.5,47.75,49,56.0469178082192,55.7808219178082,6,0,3,4,0,4,8,75,0,50,66.6666666666667,0,50,1,0,0,0,7,3,0,4,0,0,87.5,42.8571428571429,0,57.1428571428571,0,0,8,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"61","96",8,1997-01-09,2022-09-22,2021-11-17,2018-08-18,347.875,360,2904276.25,1307000,46.125,46,47.7547945205479,47.1739726027397,6,6,0,0,0,0,7,75,100,0,0,0,0,7,3,1,14.2857142857143,8,5,1,2,0,0,100,62.5,12.5,25,0,0,8,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"62","106",8,2010-04-01,2018-02-19,2012-11-10,2012-10-26,450,420,1501514.85714286,52146,35.2857142857143,31,43.6105675146771,39.627397260274,3,3,0,0,0,0,7,37.5,100,0,0,0,0,1,0,0,0,7,7,0,0,0,0,87.5,100,0,0,0,0,8,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"63","111",8,1996-07-31,2019-05-14,2018-09-07,2015-01-14,550.625,523.5,28209.1428571429,21200,21.375,23.5,29.4321917808219,31.8602739726027,4,0,4,1,0,0,7,50,0,100,25,0,0,5,0,0,0,7,0,1,6,0,0,87.5,0,14.2857142857143,85.7142857142857,0,0,8,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"64","152",8,1996-07-04,2019-02-21,1999-02-21,2005-06-04,322.857142857143,420,216668.333333333,207000,39.625,39,55.7527397260274,56.7260273972603,8,0,2,8,0,6,7,100,0,25,100,0,85.7142857142857,2,0,0,0,8,3,3,2,0,0,100,37.5,37.5,25,0,0,8,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"65","37",7,2011-05-03,2020-06-03,2016-07-29,2016-02-22,286.666666666667,335,5815387.16666667,6460005,34,35,38.5506849315069,39.0095890410959,5,5,0,0,0,0,6,71.4285714285714,100,0,0,0,0,3,0,1,33.3333333333333,6,6,0,0,0,0,85.7142857142857,100,0,0,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"66","116",7,2005-04-18,2021-01-14,2009-05-25,2010-02-15,298.571428571429,230,35007.1666666667,22294,35,35,46.4011741682975,43.7616438356164,5,4,0,0,0,1,7,71.4285714285714,80,0,0,0,14.2857142857143,1,0,0,0,7,5,1,1,0,0,100,71.4285714285714,14.2857142857143,14.2857142857143,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"67","150",7,2004-04-01,2018-09-05,2008-02-12,2009-05-20,215.714285714286,180,186789.142857143,124449,48.2857142857143,53,60.5033268101761,61.6383561643836,6,0,2,5,0,7,7,85.7142857142857,0,33.3333333333333,83.3333333333333,0,100,1,0,0,0,7,0,0,2,0,5,100,0,0,28.5714285714286,0,71.4285714285714,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"68","185",7,2006-10-19,2020-01-28,2013-02-18,2013-12-13,405.714285714286,380,501571,184000,40.1428571428571,34,48.8947162426614,43.8301369863014,7,0,2,7,0,7,7,100,0,28.5714285714286,100,0,100,2,0,0,0,7,6,0,0,1,0,100,85.7142857142857,0,0,14.2857142857143,0,4,0,3,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"69","220",7,2011-07-25,2018-02-01,2014-10-30,2014-07-16,442.857142857143,340,2090777.42857143,488470,41.4285714285714,44,49.6520547945205,51.9534246575342,5,3,2,0,0,0,7,71.4285714285714,60,40,0,0,0,1,0,0,0,7,6,0,1,0,0,100,85.7142857142857,0,14.2857142857143,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"70","244",7,1997-04-18,2018-05-04,2005-05-13,2005-10-21,462.857142857143,450,348126.428571429,100010,40.7142857142857,43,57.0183953033268,58.0438356164384,5,5,0,0,0,1,7,71.4285714285714,100,0,0,0,14.2857142857143,1,0,0,0,7,6,0,1,0,0,100,85.7142857142857,0,14.2857142857143,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"71","76",6,2013-08-21,2018-02-05,2015-12-04,2015-11-04,1195,480,1748919.5,41315.5,47.1666666666667,50.5,54.1502283105023,58.7780821917808,3,3,0,0,0,1,6,50,100,0,0,0,16.6666666666667,1,0,0,0,6,1,5,0,0,0,100,16.6666666666667,83.3333333333333,0,0,0,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"72","107",6,2000-05-12,2018-12-04,2014-01-23,2013-03-08,525,500,25619.5,12760,39.8333333333333,39.5,47.2908675799087,47.8520547945205,2,2,0,0,0,0,6,33.3333333333333,100,0,0,0,0,2,0,0,0,6,6,0,0,0,0,100,100,0,0,0,0,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"73","125",6,2004-10-19,2020-10-07,2010-11-15,2012-01-09,524.833333333333,475,1084111,54606.5,41.6666666666667,38,51.2342465753425,46.7753424657534,5,4,0,2,0,0,6,83.3333333333333,80,0,40,0,0,1,0,0,0,6,2,0,3,0,1,100,33.3333333333333,0,50,0,16.6666666666667,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"74","141",6,2018-01-19,2021-08-06,2020-02-14,2019-12-10,318.833333333333,350,1377957.66666667,815000,29,26.5,32.1908675799087,30.972602739726,6,6,0,0,0,0,6,100,100,0,0,0,0,6,0,1,16.6666666666667,6,4,0,2,0,0,100,66.6666666666667,0,33.3333333333333,0,0,6,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"75","151",6,2005-03-10,2022-01-27,2021-02-12,2018-05-03,470.166666666667,416.5,27288.3333333333,19210,33.6666666666667,29,38.0762557077626,36.3917808219178,6,0,3,5,0,6,6,100,0,50,83.3333333333333,0,100,5,1,0,0,6,2,0,3,0,1,100,33.3333333333333,0,50,0,16.6666666666667,6,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"76","42",5,2013-11-05,2022-01-04,2020-03-23,2018-11-12,403,350,42390,32518,32,32,35.6909589041096,37.6657534246575,5,4,1,0,0,0,4,100,80,20,0,0,0,3,1,0,0,4,0,1,1,0,2,80,0,25,25,0,50,5,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"77","44",5,2014-07-02,2019-05-22,2015-02-17,2015-10-02,427.5,420,48820.3333333333,45300,30.25,30,37.6047945205479,36.8849315068493,3,3,1,0,0,0,4,60,100,33.3333333333333,0,0,0,1,0,0,0,3,3,0,0,0,0,60,100,0,0,0,0,5,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"78","45",5,1997-07-10,2019-06-08,2016-06-23,2013-02-28,484,440,649000.8,464000,43.4,43,52.8465753424658,51.3287671232877,3,2,0,1,0,1,4,60,66.6666666666667,0,33.3333333333333,0,25,2,0,0,0,4,3,0,1,0,0,80,75,0,25,0,0,5,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"79","56",5,2000-07-18,2019-10-26,2017-03-17,2012-03-10,666,650,13634.8,360,32.4,31,43.3287671232877,36.241095890411,3,3,0,0,0,0,5,60,100,0,0,0,0,2,0,0,0,4,3,0,1,0,0,80,75,0,25,0,0,5,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"80","97",5,2021-02-23,2023-01-30,2022-05-17,2022-03-09,192.5,215,3464752.5,1857500,33.25,30.5,34.2664383561644,31.6232876712329,4,4,0,0,0,0,4,80,100,0,0,0,0,5,3,0,0,4,4,0,0,0,0,80,100,0,0,0,0,5,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"81","118",5,2018-04-07,2022-12-28,2019-04-29,2020-02-13,372.5,315,2610006.25,169007.5,50.75,49.5,54.5260273972603,53.4301369863014,4,2,0,3,0,0,4,80,50,0,75,0,0,5,1,0,0,4,1,2,0,0,1,80,25,50,0,0,25,5,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"82","120",5,2014-02-11,2020-06-11,2019-07-09,2017-10-10,603.75,562.5,189926,71334.5,23,20,29.0582191780822,26.6205479452055,4,4,0,0,0,0,4,80,100,0,0,0,0,3,0,0,0,3,1,1,1,0,0,60,33.3333333333333,33.3333333333333,33.3333333333333,0,0,5,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"83","153",5,2019-08-07,2022-02-16,2021-11-01,2021-01-17,594,580,53067,7700,29.6,31,31.7890410958904,31.7808219178082,5,3,2,0,0,1,4,100,60,40,0,0,25,5,1,1,20,5,1,0,3,0,1,100,20,0,60,0,20,5,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"84","211",5,2008-02-04,2022-07-07,2012-01-20,2013-04-30,454,460,111091.6,70983,49.6,45,57.718904109589,54.1342465753425,3,0,0,2,1,3,5,60,0,0,66.6666666666667,33.3333333333333,60,1,1,0,0,4,4,0,0,0,0,80,100,0,0,0,0,5,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
"85","224",5,1996-07-15,2021-05-29,2014-09-24,2013-01-07,565,300,103789.333333333,35,44.2,42,55.0213698630137,57.8301369863014,4,4,0,1,0,3,5,80,100,0,25,0,60,2,0,0,0,5,5,0,0,0,0,100,100,0,0,0,0,5,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
